fixture_id,date,competition,season,round,group,home_team_id,away_team_id,home_team,away_team,stadium,city,country,status
537393,2026-06-22T21:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_I,773.0,8062.0,France,Iraq,,,World,TIMED
537394,2026-06-23T00:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_I,8872.0,804.0,Norway,Senegal,,,World,TIMED
537400,2026-06-23T03:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_J,8049.0,778.0,Jordan,Algeria,,,World,TIMED
537405,2026-06-23T17:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_K,765.0,8070.0,Portugal,Uzbekistan,,,World,TIMED
537411,2026-06-23T20:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_L,770.0,763.0,England,Ghana,,,World,TIMED
537412,2026-06-23T23:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_L,1836.0,799.0,Panama,Croatia,,,World,TIMED
537406,2026-06-24T02:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_K,818.0,1934.0,Colombia,Congo DR,,,World,TIMED
537337,2026-06-24T19:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_B,788.0,828.0,Switzerland,Canada,,,World,TIMED
537338,2026-06-24T19:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_B,1060.0,8030.0,Bosnia-Herzegovina,Qatar,,,World,TIMED
537343,2026-06-24T22:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_C,8873.0,764.0,Scotland,Brazil,,,World,TIMED
537344,2026-06-24T22:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_C,815.0,836.0,Morocco,Haiti,,,World,TIMED
537331,2026-06-25T01:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_A,798.0,769.0,Czechia,Mexico,,,World,TIMED
