fixture_id,fotmob_match_id,team_name,opponent_name,goals_for,goals_against,shots,shots_on_target,expected_goals,possession,passes,pass_accuracy,corners,fouls,yellow_cards,red_cards,big_chances,big_chances_missed,saves,tackles,interceptions,clearances
537355,4667781,Ecuador,Germany,2.0,1.0,,3.0,,,378.0,,3.0,,3.0,0.0,2.0,1.0,,26.0,12.0,30.0
537355,4667781,Germany,Ecuador,1.0,2.0,,3.0,,,592.0,,2.0,,1.0,0.0,2.0,1.0,,20.0,4.0,15.0
537356,4667782,Curaçao,Ivory Coast,0.0,2.0,,2.0,,,355.0,,4.0,,2.0,0.0,0.0,0.0,,17.0,15.0,17.0
537356,4667782,Ivory Coast,Curaçao,2.0,0.0,,3.0,,,624.0,,6.0,,1.0,0.0,3.0,1.0,,16.0,12.0,19.0
537361,4667787,Tunisia,Netherlands,1.0,3.0,,4.0,,,258.0,,4.0,,0.0,0.0,2.0,1.0,,17.0,8.0,35.0
537361,4667787,Netherlands,Tunisia,3.0,1.0,,7.0,,,647.0,,6.0,,0.0,0.0,2.0,1.0,,8.0,10.0,17.0
537362,4667788,Japan,Sweden,1.0,1.0,,3.0,,,445.0,,2.0,,1.0,0.0,2.0,1.0,,13.0,4.0,40.0
537362,4667788,Sweden,Japan,1.0,1.0,,5.0,,,395.0,,8.0,,2.0,0.0,1.0,1.0,,7.0,5.0,21.0
537349,4667775,Turkey,United States,3.0,2.0,,3.0,,,434.0,,2.0,,0.0,0.0,5.0,2.0,,32.0,9.0,24.0
537349,4667775,United States,Turkey,2.0,3.0,,7.0,,,471.0,,9.0,,1.0,0.0,4.0,3.0,,14.0,9.0,27.0
537350,4667776,Paraguay,Australia,0.0,0.0,,2.0,,,426.0,,1.0,,1.0,0.0,0.0,0.0,,24.0,8.0,24.0
537350,4667776,Australia,Paraguay,0.0,0.0,,5.0,,,537.0,,3.0,,1.0,0.0,0.0,0.0,,20.0,7.0,10.0
537395,4667808,Norway,France,1.0,4.0,,4.0,,,421.0,,4.0,,1.0,0.0,4.0,3.0,,17.0,13.0,16.0
537395,4667808,France,Norway,4.0,1.0,,9.0,,,555.0,,5.0,,1.0,0.0,3.0,2.0,,17.0,11.0,19.0
537396,4667809,Senegal,Iraq,5.0,0.0,,12.0,,,590.0,,12.0,,2.0,0.0,5.0,3.0,,12.0,2.0,10.0
537396,4667809,Iraq,Senegal,0.0,5.0,,1.0,,,266.0,,3.0,,2.0,1.0,0.0,0.0,,20.0,7.0,34.0
537373,4667802,Uruguay,Spain,0.0,1.0,,1.0,,,301.0,,1.0,,3.0,1.0,1.0,1.0,,25.0,14.0,14.0
537373,4667802,Spain,Uruguay,1.0,0.0,,1.0,,,622.0,,6.0,,1.0,0.0,1.0,1.0,,17.0,9.0,23.0
537374,4667803,Cape Verde Islands,Saudi Arabia,0.0,0.0,,2.0,,,451.0,,4.0,,1.0,0.0,1.0,1.0,,15.0,13.0,29.0
537374,4667803,Saudi Arabia,Cape Verde Islands,0.0,0.0,,3.0,,,444.0,,2.0,,3.0,0.0,1.0,1.0,,29.0,11.0,25.0
537367,4667794,New Zealand,Belgium,1.0,5.0,,2.0,,,436.0,,5.0,,2.0,0.0,0.0,0.0,,10.0,6.0,35.0
537367,4667794,Belgium,New Zealand,5.0,1.0,,10.0,,,525.0,,8.0,,0.0,0.0,4.0,2.0,,13.0,10.0,27.0
537368,4667795,Egypt,Iran,1.0,1.0,,3.0,,,589.0,,8.0,,3.0,0.0,0.0,0.0,,17.0,7.0,38.0
537368,4667795,Iran,Egypt,1.0,1.0,,4.0,,,367.0,,2.0,,4.0,0.0,5.0,4.0,,22.0,8.0,32.0
537413,4667829,Panama,England,0.0,2.0,,2.0,,,268.0,,3.0,,2.0,0.0,0.0,0.0,,16.0,6.0,34.0
537413,4667829,England,Panama,2.0,0.0,,6.0,,,558.0,,7.0,,1.0,0.0,4.0,2.0,,18.0,5.0,20.0
537414,4667830,Croatia,Ghana,2.0,1.0,,4.0,,,523.0,,3.0,,1.0,0.0,0.0,0.0,,14.0,4.0,23.0
537414,4667830,Ghana,Croatia,1.0,2.0,,1.0,,,455.0,,2.0,,1.0,0.0,2.0,1.0,,13.0,9.0,11.0
537407,4667823,Colombia,Portugal,0.0,0.0,,6.0,,,544.0,,5.0,,1.0,0.0,2.0,2.0,,15.0,6.0,16.0
537407,4667823,Portugal,Colombia,0.0,0.0,,2.0,,,446.0,,2.0,,0.0,0.0,2.0,2.0,,9.0,13.0,22.0
537408,4667824,Congo DR,Uzbekistan,3.0,1.0,,4.0,,,485.0,,2.0,,3.0,0.0,3.0,1.0,,20.0,7.0,25.0
537408,4667824,Uzbekistan,Congo DR,1.0,3.0,,1.0,,,355.0,,4.0,,2.0,0.0,0.0,0.0,,29.0,12.0,38.0
537401,4667816,Jordan,Argentina,1.0,3.0,,1.0,,,285.0,,2.0,,3.0,0.0,1.0,0.0,,16.0,19.0,13.0
537401,4667816,Argentina,Jordan,3.0,1.0,,4.0,,,801.0,,6.0,,0.0,0.0,3.0,2.0,,14.0,12.0,9.0
537402,4667817,Algeria,Austria,3.0,3.0,,5.0,,,754.0,,0.0,,0.0,0.0,3.0,1.0,,11.0,4.0,18.0
537402,4667817,Austria,Algeria,3.0,3.0,,3.0,,,396.0,,3.0,,1.0,0.0,3.0,1.0,,11.0,10.0,19.0
537417,4653705,South Africa,Canada,0.0,1.0,,1.0,,,554.0,,1.0,,0.0,0.0,0.0,0.0,,22.0,15.0,33.0
537417,4653705,Canada,South Africa,1.0,0.0,,7.0,,,379.0,,4.0,,2.0,0.0,4.0,4.0,,20.0,8.0,16.0
537423,4653711,Brazil,Japan,2.0,1.0,,7.0,,,682.0,,6.0,,2.0,0.0,5.0,3.0,,12.0,9.0,19.0
537423,4653711,Japan,Brazil,1.0,2.0,,2.0,,,313.0,,2.0,,3.0,0.0,0.0,0.0,,10.0,6.0,45.0
537415,4653703,Germany,Paraguay,1.0,1.0,,6.0,,,805.0,,16.0,,2.0,0.0,2.0,2.0,,13.0,4.0,23.0
537415,4653703,Paraguay,Germany,1.0,1.0,,3.0,,,255.0,,6.0,,2.0,0.0,3.0,2.0,,33.0,13.0,55.0
537418,4653706,Netherlands,Morocco,1.0,1.0,,2.0,,,371.0,,5.0,,0.0,0.0,1.0,0.0,,19.0,11.0,22.0
537418,4653706,Morocco,Netherlands,1.0,1.0,,5.0,,,879.0,,8.0,,1.0,0.0,5.0,4.0,,19.0,11.0,34.0
537424,4653712,Ivory Coast,Norway,1.0,2.0,,5.0,,,401.0,,14.0,,0.0,0.0,3.0,2.0,,24.0,4.0,11.0
537424,4653712,Norway,Ivory Coast,2.0,1.0,,4.0,,,474.0,,3.0,,1.0,0.0,4.0,3.0,,19.0,5.0,37.0
