fixture_id,fotmob_match_id,team_name,starting_xi_avg_rating,starting_xi_total_rating,starting_xi_avg_minutes,starting_xi_total_minutes,substitutes_avg_rating,formation,team_goals,team_assists,team_shots,team_shots_on_target,team_chances_created,team_expected_goals,shots_on_target_rate,goals_per_shot,goals_minus_xg,team_tackles,team_interceptions,team_clearances,goals_conceded,expected_goals_against,yellow_cards,red_cards,best_player_rating,worst_starter_rating,avg_player_rating,total_player_minutes,goal_contributions,substitute_goal_contributions
537360,4667785,Japan,7.824545454545454,86.07000000000001,84.45454545454545,929.0,6.3125,3-4-2-1,4.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.4,7.03,6.65,0.0,0.0,
537360,4667785,Tunisia,5.826363636363637,64.09,79.27272727272727,872.0,6.153333333333333,3-4-2-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,4.0,,0.0,0.0,7.4,4.86,6.65,0.0,0.0,
537361,4667787,Netherlands,7.553636363636364,83.09,83.36363636363636,917.0,6.24,4-3-3,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.2,6.66,6.7,0.0,0.0,
537361,4667787,Tunisia,6.297272727272727,69.27000000000001,82.45454545454545,907.0,6.04,5-4-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.2,5.03,6.7,0.0,0.0,
537362,4667788,Japan,7.1,78.1,78.36363636363636,862.0,6.196,3-4-2-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.8,6.11,6.75,0.0,0.0,
537362,4667788,Sweden,6.837272727272727,75.21000000000001,82.0,902.0,6.196666666666666,3-4-3,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.8,6.39,6.75,0.0,0.0,
537363,4667790,Belgium,7.065454545454545,77.72,80.9090909090909,890.0,6.43,4-2-3-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.9,6.28,6.9,0.0,0.0,
537363,4667790,Egypt,7.064545454545455,77.71000000000001,85.36363636363636,939.0,6.18,4-2-3-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.9,6.14,6.9,0.0,0.0,
537364,4667791,Iran,7.005454545454546,77.06000000000002,79.36363636363636,873.0,6.234999999999999,4-4-2,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,6.8,6.04,6.8,0.0,0.0,
537364,4667791,New Zealand,6.963636363636363,76.6,84.72727272727273,932.0,6.0,4-2-3-1,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,6.8,6.09,6.8,0.0,0.0,
