fixture_id,fotmob_match_id,team_name,formation,starting_xi_avg_rating,starting_xi_total_rating,starting_xi_avg_minutes,starting_xi_total_minutes,worst_starter_rating,substitutes_avg_rating
537416,4653704,France,4-2-3-1,8.021818181818182,88.24000000000001,85.27272727272727,938.0,7.07,6.396666666666666
537416,4653704,Sweden,4-4-2,6.311818181818182,69.43,84.0909090909091,925.0,5.34,6.029999999999999
537417,4653705,Canada,4-4-2,7.201818181818182,79.22,79.36363636363636,873.0,6.2,6.51
537417,4653705,South Africa,4-2-3-1,6.905454545454545,75.96,85.18181818181819,937.0,5.99,6.2
537418,4653706,Morocco,4-2-3-1,7.167272727272728,78.84,102.36363636363636,1126.0,6.4,6.836
537418,4653706,Netherlands,3-4-2-1,6.9363636363636365,76.30000000000001,103.36363636363636,1137.0,6.23,6.398
537419,4653707,Croatia,4-2-3-1,,,,,,
537419,4653707,Portugal,4-2-3-1,,,,,,
537420,4653708,Austria,4-2-3-1,,,,,,
537420,4653708,Spain,4-3-3,,,,,,
537421,4653709,Bosnia-Herzegovina,4-4-2,,,,,,
537421,4653709,United States,3-4-2-1,,,,,,
537422,4653710,Belgium,4-2-3-1,,,,,,
537422,4653710,Senegal,4-3-3,,,,,,
537423,4653711,Brazil,4-3-3,7.497272727272727,82.47,83.54545454545455,919.0,6.25,6.695
537423,4653711,Japan,3-4-2-1,6.487272727272727,71.36000000000001,83.36363636363636,917.0,5.64,5.91
537424,4653712,Ivory Coast,4-3-3,6.614545454545455,72.75999999999999,84.0909090909091,925.0,5.71,6.984999999999999
537424,4653712,Norway,4-3-3,7.35,80.85,85.9090909090909,945.0,6.46,6.335
537425,4653713,Ecuador,4-4-2,,,,,,
537425,4653713,Mexico,4-3-3,,,,,,
537426,4653714,Congo DR,4-4-2,,,,,,
537426,4653714,England,4-2-3-1,,,,,,
537427,4653715,Argentina,4-1-3-2,,,,,,
537427,4653715,Cape Verde,4-1-4-1,,,,,,
537428,4653716,Australia,3-4-2-1,,,,,,
537428,4653716,Egypt,4-2-3-1,,,,,,
537429,4653717,Algeria,4-2-3-1,,,,,,
537429,4653717,Switzerland,4-2-3-1,,,,,,
537430,4653718,Colombia,4-3-3,,,,,,
537430,4653718,Ghana,4-1-2-3,,,,,,
